brain_code	main	species	long_1	short_1	long_2	short_2	long_3	short_3
R1	dorsal horn, spinal cord	Rat	dorsal horn, spinal cord	DH			dorsal horn	
R2	nucleus accumbens	Rat	nucleus accumbens	ACB	accumbens nucleus	Acb	Nac	
R2.1	accumbens nucleus，core	Rat			accumbens nucleus，core	AcbC	nucleus accumbens core	Nacc
R2.2	accumbens nucleus，shell	Rat			accumbens nucleus，shell	AcbSh	nucleus accumbens shell	
R3	periaqueductal gray	Rat	periaqueductal gray	PAG	periaqueductal gray	PAG		
R3.1	periaqueductal gray, dorsal division	Rat	periaqueductal gray, dorsal division	PAGd			the dorsal PAG	
R3.12	periaqueductal gray, dorsolateral division	Rat	periaqueductal gray, dorsolateral division	PAGdl	dorsolateral periaqueductal gray	DLPAG	dorsolateral periaqueductal gray	DLPAG
R3.2	periaqueductal gray, medial division	Rat	periaqueductal gray, medial division	PAGm	dorsomedial periaqueductal gray	DMPAG	dorsomedial periaqueductal gray	
R3.3	lateral periaqueductal gray	Rat			lateral periaqueductal gray	LPAG		
R3.31	periaqueductal gray, ventrolateral division	Rat	periaqueductal gray, ventrolateral division	PAGvl	ventrolateral periaqueductal gray	VLPAG	ventrolateral columns of PAG	
R4	spinal nucleus of the trigeminal	Rat	spinal nucleus of the trigeminal	SPV	spinal trigeminal nucleus	Sp5		
R4.1	spinal nucleus of the trigeminal, caudal part_sw	Rat	spinal nucleus of the trigeminal, caudal part_sw	SPVC	spinal trigeminal nucleus, caudal part	Sp5C	Trigeminal spinal nucleus caudalis	Vc
R4.2	spinal nucleus of the trigeminal, interpolar part_sw	Rat	spinal nucleus of the trigeminal, interpolar part_sw	SPVI	spinal trigeminal nucleus, interpolar part	Sp5I	subnucleus interpolaris	SNI
R4.3	spinal nucleus of the trigeminal,oral part	Rat	spinal nucleus of the trigeminal,oral part	SPVO				
