behavior	doi	species	gender	figure	condition	brain_code	cell_type
aggression	10.1007/s00429-013-0544-4	rat	male	Figure 2	social defeat	R135	
aggression	10.1007/s00429-013-0544-4	rat	male	Figure 3	social defeat	R147	
aggression	10.1007/s00429-013-0544-4	rat	male	Figure 3	social defeat	R38.3	
aggression	10.1007/s00429-013-0544-4	rat	male	Figure 3	social defeat	R38.7	
aggression	10.1007/s00429-013-0544-4	rat	male	Figure 3	social defeat	R38.51	
aggression	10.1007/s00429-013-0544-4	rat	male	Figure 3	social defeat	R38.11	
aggression	10.1007/s00429-013-0544-4	rat	male	Figure 4	social defeat	R135	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 3	single defeat	R25	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 4	single defeat	R25	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 3	repeated defeat	R25	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 4	repeated defeat	R25	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 5	single defeat	R38.2	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 6	single defeat	R38.2	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 5	single defeat	R38.3	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 6	single defeat	R38.3	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 5	repeated defeat	R38.3	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 6	repeated defeat	R38.3	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 7	single defeat	R7	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 7	single defeat	R22	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 8	60 min following single defeat	R8	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 8	60 min following repeated defeat	R8	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 9	60 min following single defeat	R9	
aggression	10.1046/j.1460-9568.1998.00011.x	rat	male	Figure 9	60 min following repeated defeat	R9	
aggression	10.1016/j.neuroscience.2003.10.029	rat	male	Figure 3	exposure to social defeat stress	R158	
