brain_code	main	species	"规范名全称(Paxinos & Franklin, 2013 )"	简称	"同义词全称（Mouse brain_Franklin & Paxinos,2007）"	简称	其他同义词	简称
B1	spinal trigeminal tract x	Mouse	spinal trigeminal tract x	sp5	spinal trigeminal tract	sp5		
B1.1	"spinal trigeminal nucleus, caudal part"	Mouse	"spinal trigeminal nucleus, caudal part"	Sp5C	spinal trigeminal nucleus; caudal part	Sp5C		
B1.2	dorsomedial spinal trigeminal nucleus	Mouse	dorsomedial spinal trigeminal nucleus	DMSp5	dorsomedial spinal trigeminal nucleus		DMSp5	
B2	parabrachial nucleus	Mouse			parabrachial nucleus	PB	PBN	
B2.1	lateral parabrachial nucleus	Mouse	lateral parabrachial nucleus	LPB	lateral parabrachial nucleus	LPB		
B2.11	"lateral parabrachial nucleus, dorsal part"	Mouse	"lateral parabrachial nucleus, dorsal part"	LPBD	"lateral parabrachial nucleus, dorsal part"	LPBD		
B2.12	lateral parabrachial nucleus; external part	Mouse	lateral parabrachial nucleus; external part	LPBE	lateral parabrachial nucleus; external part	LPBE	PBNLE	
B2.13	"lateral parabrachial nucleus, superior part"	Mouse	"lateral parabrachial nucleus, superior part"	LPBS			PBNSL	
B3	Klliker-Fuse nucleus	Mouse	Klliker-Fuse nucleus	KF	Klliker-Fuse nucleus	KF	K-F	
B4	dorsomedial hypothalamic nucleus	Mouse	dorsomedial hypothalamic nucleus	DM	dorsomedial hypothalamic nucleus	DM	dorsomedial hypothalamus	DMH
B4.1	"dorsomedial hypothalamic nucleus, compact part"	Mouse	"dorsomedial hypothalamic nucleus, compact part"	DMC	"dorsomedial hypothalamic nucleus, compact part"	DMC		
B5	lateral paragigantocellular nucleus	Mouse	lateral paragigantocellular nucleus	LPGi	lateral paragigantocellular nucleus	LPGi		
B10.4	basolateral amygdaloid nucleus	Mouse	basolateral amygdaloid nucleus	BL	basolateral amygdaloid nucleus	BL		
B7	lateral hypothalamic area	Mouse	lateral hypothalamic area	LH	lateral hypothalamic area	LH	lateral hypothalamus	
B8	thalamus	Mouse			thalamus	TH		
